#NCBI_Run_accession	CNSA_Run_accession	Adult_phenotype	Replicate	Library	Read1_length	Cellbarcode1_position	Cellbarcode2_position	UMI_position
SRR19020572	CNS0304390	Gyne	Gyne-4	Gyne_R1_C1	30	1-10	11-20	21-30
SRR19020571	CNS0304391	Gyne	Gyne-4	Gyne_R1_C2	30	1-10	11-20	21-30
SRR19020424	CNS0304392	Gyne	Gyne-4	Gyne_R1_C3	30	1-10	11-20	21-30
SRR19020413	CNS0304393	Gyne	Gyne-4	Gyne_R1_C4	41	1-10	17-26	32-41
SRR19020566	CNS0304394	Gyne	Gyne-4	Gyne_R1_C5	41	1-10	17-26	32-41
SRR19020555	CNS0304395	Gyne	Gyne-4	Gyne_R1_C6	30	1-10	11-20	21-30
SRR19020544	CNS0304396	Gyne	Gyne-4	Gyne_R1_C7	30	1-10	11-20	21-30
SRR19020501	CNS0304397	Gyne	Gyne-4	Gyne_R1_C8	30	1-10	11-20	21-30
SRR19020490	CNS0304398	Gyne	Gyne-4	Gyne_R1_C9	30	1-10	11-20	21-30
SRR19020479	CNS0304399	Gyne	Gyne-4	Gyne_R1_C10	30	1-10	11-20	21-30
SRR19020570	CNS0304400	Gyne	Gyne-4	Gyne_R1_C11	30	1-10	11-20	21-30
SRR19020527	CNS0304401	Gyne	Gyne-4	Gyne_R1_C12	30	1-10	11-20	21-30
SRR19020516	CNS0304402	Gyne	Gyne-3	Gyne_R2_C1	41	1-10	17-26	32-41
SRR19020505	CNS0304403	Gyne	Gyne-3	Gyne_R2_C2	41	1-10	17-26	32-41
SRR19020462	CNS0304404	Gyne	Gyne-3	Gyne_R2_C3	41	1-10	17-26	32-41
SRR19020451	CNS0304405	Gyne	Gyne-3	Gyne_R2_C4	41	1-10	17-26	32-41
SRR19020436	CNS0304406	Gyne	Gyne-3	Gyne_R2_C5	41	1-10	17-26	32-41
SRR19020427	CNS0304407	Gyne	Gyne-3	Gyne_R2_C6	41	1-10	17-26	32-41
SRR19020426	CNS0304408	Gyne	Gyne-3	Gyne_R2_C7	41	1-10	17-26	32-41
SRR19020425	CNS0304409	Gyne	Gyne-3	Gyne_R2_C8	41	1-10	17-26	32-41
SRR19020423	CNS0304410	Gyne	Gyne-3	Gyne_R2_C9	30	1-10	11-20	21-30
SRR19020422	CNS0304411	Gyne	Gyne-3	Gyne_R2_C10	30	1-10	11-20	21-30
SRR19020421	CNS0304412	Gyne	Gyne-3	Gyne_R2_C11	30	1-10	11-20	21-30
SRR19020420	CNS0304413	Gyne	Gyne-3	Gyne_R2_C12	41	1-10	17-26	32-41
